Filename   AWPPost   AWPPerson
ENFJ.txt    26.79     1349.23
ENFP.txt    26.98     1350.01
ENTJ.txt    26.05     1304.39
ENTP.txt    25.46     1275.57
ESFJ.txt    28.15     1446.54
ESFP.txt    23.53     1199.03
ESTJ.txt    25.83     1328.43
ESTP.txt    24.90     1255.66
INFJ.txt    26.77     1339.10
INFP.txt    26.16     1308.00
INTJ.txt    25.68     1284.51
INTP.txt    25.42     1272.32
ISFJ.txt    26.21     1322.03
ISFP.txt    24.33     1221.62
ISTJ.txt    26.09     1305.05
ISTP.txt    24.73     1236.65
