,type,clean
0,INFJ,http://www.youtube.com/watch?v=qsXHcwe3krw
2,INFJ,https://www.youtube.com/watch?v=iz7lE1g4XM4
3,INFJ,https://www.youtube.com/watch?v=uCdfze1etec
4,INFJ,http://www.youtube.com/watch?v=vXZeYwwRDw8
5,INFJ,http://www.youtube.com/watch?v=u8ejam5DP3E
10,INFJ,https://www.youtube.com/watch?v=QyPqT8umzmY
11,INFJ,http://www.youtube.com/watch?v=gDhy7rdfm14
12,INFJ,http://www.youtube.com/watch?v=msqXffgh7b8
13,INFJ,http://www.youtube.com/watch?v=Mw7eoU3BMbE
14,INFJ,http://www.youtube.com/watch?v=4V2uYORhQOk
15,INFJ,http://www.youtube.com/watch?v=SlVmgFQQ0TI
16,INFJ,http://www.youtube.com/watch?v=IRcrv41hgz4
17,INFJ,http://www.youtube.com/watch?v=ZRCEq_JFeFM
21,INFJ,http://www.youtube.com/watch?v=w8IgImn57aQ
22,INFJ,http://www.youtube.com/watch?v=dcCRUPCdB1w
23,INFJ,http://www.youtube.com/watch?v=hGKLI-GEc6M
29,ENTP,http://www.youtube.com/watch?v=j5W73HaVQBg
33,INTP,https://www.youtube.com/watch?v=fHiGbolFFGw
36,INTP,http://www.youtube.com/watch?v=2Nkcn8m9M0M
37,INTP,http://www.youtube.com/watch?v=7ghqoYxmaUE'
38,INTJ,https://www.youtube.com/watch?v=uelHwf8o7_U
39,INTJ,https://www.youtube.com/watch?v=7hcYx_y5xdo
40,ENTJ,https://www.youtube.com/watch?v=Xh0vA6_8mv8
41,ENTJ,http://youtu.be/PZbqAMEwtOE
42,ENTJ,http://youtu.be/PaghIdSJKvQ
48,INFJ,https://www.youtube.com/watch?v=tuunqfdz388
49,INTJ,https://www.youtube.com/watch?v=e4dT8FJ2GE0
51,INFJ,https://www.youtube.com/watch?v=r5If816MhoU
52,INFJ,https://www.youtube.com/watch?v=Q-sQklvpDhA
53,INFJ,https://www.youtube.com/watch?v=Cu8qsC1WLiE
54,INFJ,https://www.youtube.com/watch?v=pULe7-6yRo4
55,INFJ,https://www.youtube.com/watch?v=XkbQDChgmX8
56,INFJ,https://www.youtube.com/watch?v=2R2NrV4ve1o
57,INFJ,https://www.youtube.com/watch?v=9utPTpXpIgE
58,INFJ,https://www.youtube.com/watch?v=RoL0nRuHj0I
59,INFJ,https://www.youtube.com/watch?v=oYZh9yQu1fo
60,INFJ,https://www.youtube.com/watch?v=d5abdXpvBR0
61,INFJ,https://www.youtube.com/watch?v=u8lOTMMRJZg
62,INFJ,https://www.youtube.com/watch?v=-ls5mug1_KU
63,INFJ,https://www.youtube.com/watch?v=ff_6BF37fI0
64,INFJ,https://www.youtube.com/watch?v=YnHaYVYFTU8
65,INFJ,http://www.youtube.com/watch?v=Cu8qsC1WLiE
66,INFJ,http://www.youtube.com/watch?v=QnRkiAK_gZc
67,INFJ,http://www.youtube.com/watch?v=66Vc-2CS4ew
68,INFJ,http://www.youtube.com/watch?v=gvYm6kVY2IE
69,INFJ,http://www.youtube.com/watch?v=2XhGQisD040
70,INFJ,http://www.youtube.com/watch?v=9uhLDWCqSQQ
71,INFJ,http://www.youtube.com/watch?v=aKfmYGlhWWk
72,INFJ,http://www.youtube.com/watch?v=lK588zl0l2M
73,INTP,https://www.youtube.com/watch?v=w8-egj0y8Qs
74,INTP,http://www.youtube.com/watch?v=Xyix3xdRd3Y
75,INTP,http://www.youtube.com/watch?v=Y4cxaVEqZsE
76,INTP,http://www.youtube.com/watch?v=j9rIHPvm5c0
77,INTP,http://www.youtube.com/watch?v=pM_Q-G_CZ74
78,INTP,http://www.youtube.com/watch?v=6XXfqPRG4TQ
79,INTP,http://www.youtube.com/watch?v=mqGhSR0z1fw
80,INFJ,https://www.youtube.com/watch?v=LUc_jXBD9DU
81,ENFJ,https://www.youtube.com/watch?v=PLAaiKvHvZs
82,ENFJ,https://www.youtube.com/watch?v=usHC-O1BPCM
83,ENFJ,https://www.youtube.com/watch?v=gFBBc1tSHmo
84,INTP,https://youtu.be/1pH5c1JkhLU
85,INTP,http://youtu.be/KtYkyB35zkk
86,INTP,http://youtu.be/AJzds6fRfjM
88,INFJ,https://www.youtube.com/watch?v=dq2ddUbzRgA
94,INFJ,http://www.youtube.com/watch?v=KZFaZ9ljLu0
95,INFJ,http://www.youtube.com/watch?v=EY21CYqGaMw
96,INFJ,http://www.youtube.com/watch?v=t0D4ekTODuA
97,INFJ,http://www.youtube.com/watch?v=IUH_HVei7L0&feature=related
98,INFJ,http://www.youtube.com/watch?v=ECDpE4DLzGI
99,INFJ,http://www.youtube.com/watch?v=5xd12kTpgyo
100,INFJ,http://www.youtube.com/watch?v=UQyMmC-LiS0
101,INFJ,http://www.youtube.com/watch?v=C_qLmC91X_4
102,INFJ,http://www.youtube.com/watch?v=C_qLmC91X_4
103,INFJ,http://www.youtube.com/watch?v=zc4wo60f3us
104,INFJ,http://www.youtube.com/watch?v=0Wq6VeeYZQY
105,INFJ,http://www.youtube.com/watch?v=WgSqCf6rafA
112,ENTJ,http://www.youtube.com/watch?v=9oG1IfQx9Oc
